Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,implementation,Size,ObjectCode,mapable
0x1403,0x02,Receive PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1403,0x03,Receive PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1403,0x05,Receive PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1600,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x03,Receive PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x04,Receive PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x05,Receive PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x06,Receive PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x07,Receive PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1600,0x08,Receive PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1601,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x03,Receive PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x04,Receive PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x05,Receive PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x06,Receive PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x07,Receive PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1601,0x08,Receive PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1602,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x03,Receive PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x04,Receive PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x05,Receive PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x06,Receive PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x07,Receive PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1602,0x08,Receive PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1603,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x03,Receive PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x04,Receive PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x05,Receive PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x06,Receive PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x07,Receive PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1603,0x08,Receive PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1800,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,6,NONE,2,6,yes,no,no,no,1,ManagedConst,0,RECORD,no
0x1800,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,385,4294967295,yes,no,no,no,1,ManagedVariable,0,,no
0x1800,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,254,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,no
0x1800,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
0x1800,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,no
